CONSUMER_SPENDING,TBL1,TBL2,TBL3,TBL4,TBL5,TBL6,TBL7,BOND1,BOND2,BOND3,BOND4,BOND5,BOND6,BOND7,DEBT1,DEBT2,DEBT3,DEBT4,DEBT5,DEBT6,DEBT7,DLSP1,DLSP2,DLSP3,DLSP4,DLSP5,DLSP6,DLSP7
6.2,5.46,4.82,4.63,4.69,5.17,5.14,4.94,7.36,7.37,7.35,7.19,7.73,7.77,7.75,0.953268966,0.942736845,0.939610816,0.935412485,0.934689863,0.936087324,0.949948496,-0.009843619,-0.017571092,-0.039794398,0.002788224,0.017776394,0.009057561,0.114693088
2.3,6.11,5.46,4.82,4.63,4.69,5.17,5.14,7.6,7.36,7.37,7.35,7.19,7.73,7.77,0.957607043,0.953268966,0.942736845,0.939610816,0.935412485,0.934689863,0.936087324,-0.034403303,-0.009843619,-0.017571092,-0.039794398,0.002788224,0.017776394,0.009057561
8.8,6.39,6.11,5.46,4.82,4.63,4.69,5.17,8.01,7.6,7.36,7.37,7.35,7.19,7.73,0.965265824,0.957607043,0.953268966,0.942736845,0.939610816,0.935412485,0.934689863,-0.061249205,-0.034403303,-0.009843619,-0.017571092,-0.039794398,0.002788224,0.017776394
1.7,6.49,6.39,6.11,5.46,4.82,4.63,4.69,8.32,8.01,7.6,7.36,7.37,7.35,7.19,0.966749413,0.965265824,0.957607043,0.953268966,0.942736845,0.939610816,0.935412485,0.086885816,-0.061249205,-0.034403303,-0.009843619,-0.017571092,-0.039794398,0.002788224
3.2,7.3,6.49,6.39,6.11,5.46,4.82,4.63,8.49,8.32,8.01,7.6,7.36,7.37,7.35,0.975526646,0.966749413,0.965265824,0.957607043,0.953268966,0.942736845,0.939610816,0.056749731,0.086885816,-0.061249205,-0.034403303,-0.009843619,-0.017571092,-0.039794398
2,8.57,7.3,6.49,6.39,6.11,5.46,4.82,8.82,8.49,8.32,8.01,7.6,7.36,7.37,0.98003289,0.975526646,0.966749413,0.965265824,0.957607043,0.953268966,0.942736845,-0.076417005,0.056749731,0.086885816,-0.061249205,-0.034403303,-0.009843619,-0.017571092
-0.2,9.39,8.57,7.3,6.49,6.39,6.11,5.46,9.11,8.82,8.49,8.32,8.01,7.6,7.36,0.979391176,0.98003289,0.975526646,0.966749413,0.965265824,0.957607043,0.953268966,0.04758872,-0.076417005,0.056749731,0.086885816,-0.061249205,-0.034403303,-0.009843619
4,9.38,9.39,8.57,7.3,6.49,6.39,6.11,9.11,9.11,8.82,8.49,8.32,8.01,7.6,0.974217219,0.979391176,0.98003289,0.975526646,0.966749413,0.965265824,0.957607043,0.019782918,0.04758872,-0.076417005,0.056749731,0.086885816,-0.061249205,-0.034403303
1.1,9.65,9.38,9.39,8.57,7.3,6.49,6.39,9.1,9.11,9.11,8.82,8.49,8.32,8.01,0.985554762,0.974217219,0.979391176,0.98003289,0.975526646,0.966749413,0.965265824,0.059743058,0.019782918,0.04758872,-0.076417005,0.056749731,0.086885816,-0.061249205
-0.6,11.84,9.65,9.38,9.39,8.57,7.3,6.49,10.45,9.1,9.11,9.11,8.82,8.49,8.32,0.994983487,0.985554762,0.974217219,0.979391176,0.98003289,0.975526646,0.966749413,-0.020459043,0.059743058,0.019782918,0.04758872,-0.076417005,0.056749731,0.086885816
-8.7,13.28,11.84,9.65,9.38,9.39,8.57,7.3,11.99,10.45,9.1,9.11,9.11,8.82,8.49,1.000807586,0.994983487,0.985554762,0.974217219,0.979391176,0.98003289,0.975526646,0.043330866,-0.020459043,0.059743058,0.019782918,0.04758872,-0.076417005,0.056749731
4.4,9.77,13.28,11.84,9.65,9.38,9.39,8.57,10.48,11.99,10.45,9.1,9.11,9.11,8.82,1.001699749,1.000807586,0.994983487,0.985554762,0.974217219,0.979391176,0.98003289,0.005622047,0.043330866,-0.020459043,0.059743058,0.019782918,0.04758872,-0.076417005
5.4,9.04,9.77,13.28,11.84,9.65,9.38,9.39,10.95,10.48,11.99,10.45,9.1,9.11,9.11,0.998455147,1.001699749,1.000807586,0.994983487,0.985554762,0.974217219,0.979391176,0.107735839,0.005622047,0.043330866,-0.020459043,0.059743058,0.019782918,0.04758872
2.1,13.48,9.04,9.77,13.28,11.84,9.65,9.38,12.42,10.95,10.48,11.99,10.45,9.1,9.11,1.003208057,0.998455147,1.001699749,1.000807586,0.994983487,0.985554762,0.974217219,0.088618087,0.107735839,0.005622047,0.043330866,-0.020459043,0.059743058,0.019782918
-0.1,14.42,13.48,9.04,9.77,13.28,11.84,9.65,12.96,12.42,10.95,10.48,11.99,10.45,9.1,1.0077867,1.003208057,0.998455147,1.001699749,1.000807586,0.994983487,0.985554762,-0.017313079,0.088618087,0.107735839,0.005622047,0.043330866,-0.020459043,0.059743058
1.6,14.83,14.42,13.48,9.04,9.77,13.28,11.84,13.75,12.96,12.42,10.95,10.48,11.99,10.45,0.997077244,1.0077867,1.003208057,0.998455147,1.001699749,1.000807586,0.994983487,-0.000529362,-0.017313079,0.088618087,0.107735839,0.005622047,0.043330866,-0.020459043
-3,15.05,14.83,14.42,13.48,9.04,9.77,13.28,14.85,13.75,12.96,12.42,10.95,10.48,11.99,0.99634877,0.997077244,1.0077867,1.003208057,0.998455147,1.001699749,1.000807586,-0.069747772,-0.000529362,-0.017313079,0.088618087,0.107735839,0.005622047,0.043330866
2.7,11.9,15.05,14.83,14.42,13.48,9.04,9.77,14.09,14.85,13.75,12.96,12.42,10.95,10.48,0.991379527,0.99634877,0.997077244,1.0077867,1.003208057,0.998455147,1.001699749,0.002430204,-0.069747772,-0.000529362,-0.017313079,0.088618087,0.107735839,0.005622047
1.5,12.69,11.9,15.05,14.83,14.42,13.48,9.04,14.29,14.09,14.85,13.75,12.96,12.42,10.95,0.990096083,0.991379527,0.99634877,0.997077244,1.0077867,1.003208057,0.998455147,-0.070730051,0.002430204,-0.069747772,-0.000529362,-0.017313079,0.088618087,0.107735839
3.1,12.45,12.69,11.9,15.05,14.83,14.42,13.48,13.93,14.29,14.09,14.85,13.75,12.96,12.42,0.994359596,0.990096083,0.991379527,0.99634877,0.997077244,1.0077867,1.003208057,-0.022067041,-0.070730051,0.002430204,-0.069747772,-0.000529362,-0.017313079,0.088618087
7.5,9.61,12.45,12.69,11.9,15.05,14.83,14.42,13.12,13.93,14.29,14.09,14.85,13.75,12.96,1.003663064,0.994359596,0.990096083,0.991379527,0.99634877,0.997077244,1.0077867,0.02654363,-0.022067041,-0.070730051,0.002430204,-0.069747772,-0.000529362,-0.017313079
3.9,7.88,9.61,12.45,12.69,11.9,15.05,14.83,10.67,13.12,13.93,14.29,14.09,14.85,13.75,1.010284444,1.003663064,0.994359596,0.990096083,0.991379527,0.99634877,0.997077244,0.173798808,0.02654363,-0.022067041,-0.070730051,0.002430204,-0.069747772,-0.000529362
8.2,8.08,7.88,9.61,12.45,12.69,11.9,15.05,10.56,10.67,13.12,13.93,14.29,14.09,14.85,1.016211505,1.010284444,1.003663064,0.994359596,0.990096083,0.991379527,0.99634877,0.07785499,0.173798808,0.02654363,-0.022067041,-0.070730051,0.002430204,-0.069747772
7.2,8.4,8.08,7.88,9.61,12.45,12.69,11.9,10.54,10.56,10.67,13.12,13.93,14.29,14.09,1.013857189,1.016211505,1.010284444,1.003663064,0.994359596,0.990096083,0.991379527,0.102430038,0.07785499,0.173798808,0.02654363,-0.022067041,-0.070730051,0.002430204
6.5,9.13,8.4,8.08,7.88,9.61,12.45,12.69,11.63,10.54,10.56,10.67,13.12,13.93,14.29,1.020544923,1.013857189,1.016211505,1.010284444,1.003663064,0.994359596,0.990096083,-0.002896218,0.102430038,0.07785499,0.173798808,0.02654363,-0.022067041,-0.070730051
3.4,8.8,9.13,8.4,8.08,7.88,9.61,12.45,11.69,11.63,10.54,10.56,10.67,13.12,13.93,1.025345835,1.020544923,1.013857189,1.016211505,1.010284444,1.003663064,0.994359596,0.003745267,-0.002896218,0.102430038,0.07785499,0.173798808,0.02654363,-0.022067041
5.8,9.17,8.8,9.13,8.4,8.08,7.88,9.61,11.94,11.69,11.63,10.54,10.56,10.67,13.12,1.030318652,1.025345835,1.020544923,1.013857189,1.016211505,1.010284444,1.003663064,-0.031258628,0.003745267,-0.002896218,0.102430038,0.07785499,0.173798808,0.02654363
3.1,9.8,9.17,8.8,9.13,8.4,8.08,7.88,13.2,11.94,11.69,11.63,10.54,10.56,10.67,1.029996841,1.030318652,1.025345835,1.020544923,1.013857189,1.016211505,1.010284444,-0.033646361,-0.031258628,0.003745267,-0.002896218,0.102430038,0.07785499,0.173798808
5.4,10.32,9.8,9.17,8.8,9.13,8.4,8.08,12.87,13.2,11.94,11.69,11.63,10.54,10.56,1.040274231,1.029996841,1.030318652,1.025345835,1.020544923,1.013857189,1.016211505,0.041516919,-0.033646361,-0.031258628,0.003745267,-0.002896218,0.102430038,0.07785499
7,8.84,10.32,9.8,9.17,8.8,9.13,8.4,11.74,12.87,13.2,11.94,11.69,11.63,10.54,1.046832161,1.040274231,1.029996841,1.030318652,1.025345835,1.020544923,1.013857189,0.027481711,0.041516919,-0.033646361,-0.031258628,0.003745267,-0.002896218,0.102430038
3.8,8.16,8.84,10.32,9.8,9.17,8.8,9.13,11.58,11.74,12.87,13.2,11.94,11.69,11.63,1.061409472,1.046832161,1.040274231,1.029996841,1.030318652,1.025345835,1.020544923,0.085878738,0.027481711,0.041516919,-0.033646361,-0.031258628,0.003745267,-0.002896218
7.9,7.48,8.16,8.84,10.32,9.8,9.17,8.8,10.81,11.58,11.74,12.87,13.2,11.94,11.69,1.072554642,1.061409472,1.046832161,1.040274231,1.029996841,1.030318652,1.025345835,0.035843156,0.085878738,0.027481711,0.041516919,-0.033646361,-0.031258628,0.003745267
