DATE,DPCERL1Q225SBEA,DPCERL1Q225SBEA_delta,CP,CP_delta,W875RX1,W875RX1_delta,PSAVERT,PSAVERT_delta,PAYEMS,PAYEMS_delta,UNRATE,UNRATE_delta,POP,POP_delta,CIVPART,CIVPART_delta,INDPRO,INDPRO_delta,USTRADE,USTRADE_delta,TOTALSA,TOTALSA_delta,TOTALSL,TOTALSL_delta,HOUST,HOUST_delta,CPIAUCSL,CPIAUCSL_delta,CSUSHPISA,CSUSHPISA_delta,WTISPLC,WTISPLC_delta,BASE,BASE_delta,BAA10YM,BAA10YM_delta,FF,FF_delta,DGS10,DGS10_delta,TWEXM,TWEXM_delta,UMCSENT,UMCSENT_delta,SANDP,SANDP_delta,Household Debt,Household Debt_delta
1957_4,0.2,3.2,-8.08081,-2.30263,0.746123405,0.746123405,8.329613734,8.329613734,-0.92348,-0.17121,4.9,4.2,0.46499,0.44081,59.5,59.6,-4.2144,0.36985,0.2888,0.36592,0.276651371,0.276651371,0.81306,1.71037,0.232559655,0.232559655,0.48473,0.89244,0.399120158,0.399120158,0,0,2.442237519,2.442237519,1.4,0.9,3.28,3.21,6.302443439,6.302443439,-0.014554859,-0.014554859,0.317531731,0.317531731,-9.84609319,7.453559299,0.285714286,1.744186047
1958_1,-5.4,0.2,-13.55311,-8.08081,0.746123405,0.746123405,8.329613734,8.329613734,-1.74815,-0.92348,6.3,4.9,0.39293,0.46499,59.3,59.5,-5.63869,-4.2144,0.53917,0.2888,0.276651371,0.276651371,0.17135,0.81306,0.232559655,0.232559655,1.18662,0.48473,0.399120158,0.399120158,0,0,2.442237519,2.442237519,1.68,1.4,2.01,3.28,6.302443439,6.302443439,-0.014554859,-0.014554859,0.317531731,0.317531731,-5.682872109,-9.84609319,1.13960114,0.285714286
1958_2,3.3,-5.4,1.69492,-13.55311,0.746123405,0.746123405,8.329613734,8.329613734,-1.35525,-1.74815,7.4,6.3,0.3816,0.39293,59.6,59.3,-1.67468,-5.63869,0.4794,0.53917,0.276651371,0.276651371,-0.95392,0.17135,0.232559655,0.232559655,0.67161,1.18662,0.399120158,0.399120158,0,0,2.442237519,2.442237519,1.69,1.68,0.95,2.01,6.302443439,6.302443439,-0.014554859,-0.014554859,0.317531731,0.317531731,3.967264866,-5.682872109,-0.563380282,1.13960114
1958_3,6.8,3.3,10.83333,1.69492,0.746123405,0.746123405,8.329613734,8.329613734,0.60254,-1.35525,7.3,7.4,0.42545,0.3816,59.7,59.6,5.29434,-1.67468,0.35177,0.4794,0.276651371,0.276651371,0.04895,-0.95392,0.232559655,0.232559655,-0.05876,0.67161,0.399120158,0.399120158,0,0,2.442237519,2.442237519,1.19,1.69,1.24,0.95,6.302443439,6.302443439,-0.014554859,-0.014554859,0.317531731,0.317531731,7.989503935,3.967264866,2.266288952,-0.563380282
1958_4,5.5,6.8,12.78195,10.83333,0.746123405,0.746123405,8.329613734,8.329613734,1.13348,0.60254,6.4,7.3,0.46304,0.42545,59.3,59.7,4.50372,5.29434,0.32032,0.35177,0.276651371,0.276651371,0.94289,0.04895,0.232559655,0.232559655,0.10376,-0.05876,0.399120158,0.399120158,0,0,2.442237519,2.442237519,1.08,1.19,2.15,1.24,6.302443439,6.302443439,-0.014554859,-0.014554859,0.317531731,0.317531731,10.37986109,7.989503935,1.662049861,2.266288952
1959_1,7.5,5.5,6.66667,12.78195,0.746123405,0.746123405,10.7,8.329613734,1.71493,1.13348,5.8,6.4,0.41033,0.46304,59.2,59.3,4.39311,4.50372,0.02209,0.32032,0.276651371,0.276651371,2.96619,0.94289,0.232559655,0.232559655,0.17275,0.10376,0.399120158,0.399120158,0,0,2.442237519,2.442237519,0.88,1.08,2.55,2.15,6.302443439,6.302443439,-0.014554859,-0.014554859,0.317531731,0.317531731,10.92436775,10.37986109,1.907356948,1.662049861
1959_2,6.3,7.5,8.4375,6.66667,1.86333,0.746123405,10.7,10.7,1.49446,1.71493,5.1,5.8,0.38941,0.41033,59.3,59.2,4.84974,4.39311,0.34934,0.02209,0.276651371,0.276651371,3.14077,2.96619,-7.16019,0.232559655,0.17246,0.17275,0.399120158,0.399120158,0,0,2.442237519,2.442237519,0.7,0.88,3.05,2.55,6.302443439,6.302443439,-0.014554859,-0.014554859,0.317531731,0.317531731,0.450937959,10.92436775,-0.802139037,1.907356948
1959_3,4.2,6.3,-9.51009,8.4375,-0.04539,1.86333,9.6,10.7,0.01121,1.49446,5.3,5.1,0.4144,0.38941,59.3,59.3,-4.09027,4.84974,0.30011,0.34934,0.276651371,0.276651371,3.87414,3.14077,-1.56863,-7.16019,0.51648,0.17246,0.399120158,0.399120158,0,0,2.442237519,2.442237519,0.61,0.7,3.56,3.05,6.302443439,6.302443439,-0.014554859,-0.014554859,0.317531731,0.317531731,5.88975051,0.450937959,1.078167116,-0.802139037
1959_4,0.4,4.2,-1.91083,-9.51009,0.75837,-0.04539,10.1,9.6,0.37555,0.01121,5.6,5.3,0.45367,0.4144,59.3,59.3,0.47844,-4.09027,-1.24471,0.30011,0.276651371,0.276651371,3.82979,3.87414,-3.25365,-1.56863,0.60631,0.51648,0.399120158,0.399120158,0,0,2.442237519,2.442237519,0.69,0.61,3.99,3.56,6.302443439,6.302443439,-0.014554859,-0.014554859,0.317531731,0.317531731,-3.442431687,5.88975051,1.333333333,1.078167116
1960_1,3.9,0.4,9.41558,-1.91083,1.58194,0.75837,10.3,10.1,1.28809,0.37555,5.1,5.6,0.38008,0.45367,58.9,59.3,6.02927,0.47844,1.39169,-1.24471,0.276651371,0.276651371,2.46507,3.82979,-6.86342,-3.25365,0.09193,0.60631,0.399120158,0.399120158,0,0,2.442237519,2.442237519,0.82,0.69,3.93,3.99,6.302443439,6.302443439,-0.014554859,-0.014554859,0.317531731,0.317531731,5.216018708,-3.442431687,1.842105263,1.333333333
1960_2,5.2,3.9,-6.82493,9.41558,0.58565,1.58194,9.7,10.3,0.23707,1.28809,5.2,5.1,0.35303,0.38008,59.6,58.9,-2.16958,6.02927,0.12351,1.39169,0.276651371,0.276651371,2.83988,2.46507,-6.48489,-6.86342,0.5987,0.09193,0.399120158,0.399120158,9.72763,0,2.442237519,2.442237519,0.99,0.82,3.7,3.93,6.302443439,6.302443439,-0.014554859,-0.014554859,0.317531731,0.317531731,-7.477883492,5.216018708,-1.033591731,1.842105263
